users ,laptop ,usb ,earph,powbank,mobile,books,notes,pens,drafter,calculator,bag,studtable,cycle,bt speaks
1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,1,1,1,1,1,0,1,1,1,1,1,1
4,0,0,1,1,1,1,0,1,1,1,1,1,1,1
5,0,0,0,1,0,1,1,0,1,1,1,1,0,0
6,0,0,0,1,1,1,1,1,1,1,1,0,1,1
7,0,0,0,1,0,1,0,1,1,1,0,1,1,0
8,0,1,0,0,0,1,1,1,1,0,0,1,1,0
9,0,1,0,0,0,0,1,1,1,0,1,0,0,0
10,1,1,0,1,0,0,1,1,1,0,1,0,0,0
11,1,1,0,0,1,0,1,1,1,0,1,1,0,1
12,1,1,0,1,1,0,1,1,0,1,1,0,0,1
13,1,1,0,1,0,0,1,1,0,1,1,1,0,1
14,1,1,1,0,0,0,0,0,0,1,0,0,0,1
15,1,1,1,0,0,1,1,1,1,0,1,1,1,1
16,1,1,1,0,1,1,1,1,1,0,0,1,1,1
17,1,1,1,1,1,1,0,0,1,0,0,0,1,1
18,1,1,1,1,1,0,0,0,0,1,0,0,1,1
19,0,0,1,1,1,0,0,0,0,1,0,0,0,1
20,0,1,0,1,0,1,1,1,1,1,1,1,0,1
21,1,1,0,1,0,1,1,1,1,1,1,0,0,0
22,1,1,0,1,0,1,1,1,1,1,1,1,0,0
